"","Gene.proteins.secondaryIdentifier","Gene.proteins.symbol","Gene.proteins.proteinDomains.name","Gene.proteins.proteinDomains.start","Gene.proteins.proteinDomains.end","Gene.proteins.proteinDomains.method","Gene.proteins.proteinDomains.id","pid_proteins$Gene.proteins.secondaryIdentifier"
"93","YBL050W","Sec17p","G3DSA:1.25.40.10",1,292,"GENE3D",1954375,"YBL050W"
"94","YBL050W","Sec17p","SSF48452",2,290,"SUPERFAMILY",1954386,"YBL050W"
"95","YBL058W","Shp1p","PF00789",345,421,"Pfam",1956513,"YBL058W"
"96","YBL058W","Shp1p","PS50033",344,421,"PROSITE",1956516,"YBL058W"
"97","YBL058W","Shp1p","SM00166",340,422,"SMART",1956520,"YBL058W"
"98","YBL079W","Nup170p","G3DSA:2.130.10.10",161,603,"GENE3D",1959603,"YBL079W"
"99","YBL084C","Cdc27p","G3DSA:1.25.40.10",18,192,"GENE3D",1958693,"YBL084C"
"100","YBL084C","Cdc27p","G3DSA:1.25.40.10",400,525,"GENE3D",1958694,"YBL084C"
"101","YBL084C","Cdc27p","G3DSA:1.25.40.10",535,596,"GENE3D",1958695,"YBL084C"
"102","YBL084C","Cdc27p","G3DSA:1.25.40.10",607,660,"GENE3D",1958696,"YBL084C"
"103","YBL084C","Cdc27p","G3DSA:1.25.40.10",661,687,"GENE3D",1958697,"YBL084C"
"104","YBL084C","Cdc27p","G3DSA:1.25.40.10",688,757,"GENE3D",1958698,"YBL084C"
"105","YBL084C","Cdc27p","PF00515",540,573,"Pfam",1958699,"YBL084C"
"106","YBL084C","Cdc27p","PF00515",609,639,"Pfam",1958700,"YBL084C"
"107","YBL084C","Cdc27p","PF13181",575,607,"Pfam",1958702,"YBL084C"
"108","YBL084C","Cdc27p","PS50005",154,187,"PROSITE",1958704,"YBL084C"
"109","YBL084C","Cdc27p","PS50005",472,505,"PROSITE",1958705,"YBL084C"
"110","YBL084C","Cdc27p","PS50005",540,573,"PROSITE",1958706,"YBL084C"
"111","YBL084C","Cdc27p","PS50005",574,607,"PROSITE",1958707,"YBL084C"
"112","YBL084C","Cdc27p","PS50005",608,641,"PROSITE",1958708,"YBL084C"
"113","YBL084C","Cdc27p","PS50005",642,675,"PROSITE",1958709,"YBL084C"
"114","YBL084C","Cdc27p","PS50005",676,709,"PROSITE",1958710,"YBL084C"
"115","YBL084C","Cdc27p","PS50005",710,743,"PROSITE",1958711,"YBL084C"
"116","YBL084C","Cdc27p","PS50293",472,743,"PROSITE",1958712,"YBL084C"
"117","YBL084C","Cdc27p","SM00028",154,187,"SMART",1958715,"YBL084C"
"118","YBL084C","Cdc27p","SM00028",472,505,"SMART",1958716,"YBL084C"
"119","YBL084C","Cdc27p","SM00028",540,573,"SMART",1958717,"YBL084C"
"120","YBL084C","Cdc27p","SM00028",574,607,"SMART",1958718,"YBL084C"
"121","YBL084C","Cdc27p","SM00028",608,641,"SMART",1958719,"YBL084C"
"122","YBL084C","Cdc27p","SM00028",642,675,"SMART",1958720,"YBL084C"
"123","YBL084C","Cdc27p","SM00028",676,709,"SMART",1958721,"YBL084C"
"124","YBL084C","Cdc27p","SM00028",710,743,"SMART",1958722,"YBL084C"
"125","YBL084C","Cdc27p","SSF48452",537,743,"SUPERFAMILY",1958723,"YBL084C"
"126","YBL085W","Boi1p","PF00018",19,69,"Pfam",1958678,"YBL085W"
"127","YBL085W","Boi1p","PF07647",226,290,"Pfam",1958680,"YBL085W"
"128","YBL085W","Boi1p","PS50002",13,77,"PROSITE",1958681,"YBL085W"
"129","YBL085W","Boi1p","PS50105",228,292,"PROSITE",1958683,"YBL085W"
"130","YBL085W","Boi1p","SM00326",16,76,"SMART",1958687,"YBL085W"
"131","YBL085W","Boi1p","SM00454",225,292,"SMART",1958688,"YBL085W"
"132","YBL085W","Boi1p","SSF50044",15,75,"SUPERFAMILY",1958690,"YBL085W"
"133","YBL088C","Tel1p","PF02260",2757,2786,"Pfam",1958977,"YBL088C"
"134","YBL088C","Tel1p","PS51190",2755,2787,"PROSITE",1958983,"YBL088C"
"135","YBL088C","Tel1p","SM01343",2755,2787,"SMART",1958988,"YBL088C"
"136","YBL104C","Sea4p","G3DSA:2.130.10.10",24,400,"GENE3D",1959534,"YBL104C"
"137","YBL104C","Sea4p","SSF50978",43,86,"SUPERFAMILY",1959539,"YBL104C"
"138","YBL104C","Sea4p","SSF50978",146,331,"SUPERFAMILY",1959540,"YBL104C"
"139","YBL104C","Sea4p","SSF50978",361,394,"SUPERFAMILY",1959541,"YBL104C"
"140","YBL106C","Sro77p","G3DSA:2.130.10.10",30,570,"GENE3D",1959514,"YBL106C"
"141","YBL106C","Sro77p","G3DSA:2.130.10.10",571,892,"GENE3D",1959515,"YBL106C"
"142","YBL106C","Sro77p","PS50082",245,274,"PROSITE",1959519,"YBL106C"
"143","YBL106C","Sro77p","PS50082",457,498,"PROSITE",1959520,"YBL106C"
"144","YBL106C","Sro77p","PS50294",233,274,"PROSITE",1959521,"YBL106C"
"145","YBL106C","Sro77p","PS50294",457,498,"PROSITE",1959522,"YBL106C"
"146","YBL106C","Sro77p","SM00320",33,71,"SMART",1959525,"YBL106C"
"147","YBL106C","Sro77p","SM00320",103,152,"SMART",1959526,"YBL106C"
"148","YBL106C","Sro77p","SM00320",231,265,"SMART",1959527,"YBL106C"
"149","YBL106C","Sro77p","SM00320",450,489,"SMART",1959528,"YBL106C"
"150","YBL106C","Sro77p","SM00320",588,626,"SMART",1959529,"YBL106C"
"151","YBL106C","Sro77p","SSF50978",18,278,"SUPERFAMILY",1959530,"YBL106C"
"152","YBL106C","Sro77p","SSF50978",245,273,"SUPERFAMILY",1959531,"YBL106C"
"153","YBL106C","Sro77p","SSF50978",456,551,"SUPERFAMILY",1959532,"YBL106C"
"154","YBL106C","Sro77p","SSF50978",595,655,"SUPERFAMILY",1959533,"YBL106C"
"155","YBR017C","Kap104p","PF02985",694,722,"Pfam",1959725,"YBR017C"
"156","YBR030W","Rkm3p","PF00856",37,335,"Pfam",1959760,"YBR030W"
"157","YBR030W","Rkm3p","PS50280",26,335,"PROSITE",1959761,"YBR030W"
"158","YBR055C","Prp6p","G3DSA:1.25.40.10",49,290,"GENE3D",1947889,"YBR055C"
"159","YBR055C","Prp6p","G3DSA:1.25.40.10",295,454,"GENE3D",1947890,"YBR055C"
"160","YBR055C","Prp6p","G3DSA:1.25.40.10",495,856,"GENE3D",1947891,"YBR055C"
"161","YBR055C","Prp6p","PS50293",668,838,"PROSITE",1947893,"YBR055C"
"162","YBR055C","Prp6p","SM00028",668,701,"SMART",1947896,"YBR055C"
"163","YBR055C","Prp6p","SM00028",737,770,"SMART",1947897,"YBR055C"
"164","YBR055C","Prp6p","SM00028",805,838,"SMART",1947898,"YBR055C"
"165","YBR055C","Prp6p","SSF48452",219,286,"SUPERFAMILY",1947906,"YBR055C"
"166","YBR055C","Prp6p","SSF48452",299,771,"SUPERFAMILY",1947907,"YBR055C"
"167","YBR055C","Prp6p","SSF48452",732,870,"SUPERFAMILY",1947908,"YBR055C"
"168","YBR058C","Ubp14p","SSF46934",633,693,"SUPERFAMILY",1959844,"YBR058C"
"169","YBR079C","Rpg1p","SM00088",419,506,"SMART",1959890,"YBR079C"
"170","YBR081C","Spt7p","G3DSA:1.20.920.10",325,579,"GENE3D",1956807,"YBR081C"
"171","YBR081C","Spt7p","PF00439",450,525,"Pfam",1956808,"YBR081C"
"172","YBR081C","Spt7p","PR00503",461,474,"PRINTS",1956809,"YBR081C"
"173","YBR081C","Spt7p","PR00503",475,491,"PRINTS",1956810,"YBR081C"
"174","YBR081C","Spt7p","PR00503",491,509,"PRINTS",1956811,"YBR081C"
"175","YBR081C","Spt7p","PR00503",509,528,"PRINTS",1956812,"YBR081C"
"176","YBR081C","Spt7p","PS50014",458,528,"PROSITE",1956814,"YBR081C"
"177","YBR081C","Spt7p","SM00297",438,548,"SMART",1956817,"YBR081C"
"178","YBR081C","Spt7p","SSF47370",431,549,"SUPERFAMILY",1956818,"YBR081C"
"179","YBR097W","Vps15p","G3DSA:2.130.10.10",925,1105,"GENE3D",1949002,"YBR097W"
"180","YBR097W","Vps15p","G3DSA:2.130.10.10",1183,1454,"GENE3D",1949003,"YBR097W"
"181","YBR097W","Vps15p","PS50082",1076,1111,"PROSITE",1949009,"YBR097W"
"182","YBR097W","Vps15p","PS50294",1076,1165,"PROSITE",1949010,"YBR097W"
"183","YBR097W","Vps15p","SM00320",1068,1109,"SMART",1949013,"YBR097W"
"184","YBR097W","Vps15p","SM00320",1120,1156,"SMART",1949014,"YBR097W"
"185","YBR097W","Vps15p","SM00320",1218,1259,"SMART",1949015,"YBR097W"
"186","YBR097W","Vps15p","SM00320",1262,1306,"SMART",1949016,"YBR097W"
"187","YBR097W","Vps15p","SM00320",1414,1454,"SMART",1949017,"YBR097W"
"188","YBR097W","Vps15p","SSF50978",1073,1386,"SUPERFAMILY",1949020,"YBR097W"
"189","YBR097W","Vps15p","SSF50978",1423,1452,"SUPERFAMILY",1949021,"YBR097W"
"190","YBR103W","Sif2p","G3DSA:2.130.10.10",146,535,"GENE3D",1959941,"YBR103W"
"191","YBR103W","Sif2p","PF00400",221,248,"Pfam",1959942,"YBR103W"
"192","YBR103W","Sif2p","PF00400",351,386,"Pfam",1959943,"YBR103W"
"193","YBR103W","Sif2p","PF00400",392,428,"Pfam",1959944,"YBR103W"
"194","YBR103W","Sif2p","PF08513",6,32,"Pfam",1959945,"YBR103W"
"195","YBR103W","Sif2p","PS50082",220,248,"PROSITE",1959946,"YBR103W"
"196","YBR103W","Sif2p","PS50082",257,298,"PROSITE",1959947,"YBR103W"
"197","YBR103W","Sif2p","PS50082",355,386,"PROSITE",1959948,"YBR103W"
"198","YBR103W","Sif2p","PS50082",397,437,"PROSITE",1959949,"YBR103W"
"199","YBR103W","Sif2p","PS50294",216,479,"PROSITE",1959950,"YBR103W"
"200","YBR103W","Sif2p","PS50896",4,36,"PROSITE",1959951,"YBR103W"
"201","YBR103W","Sif2p","SM00320",209,248,"SMART",1959954,"YBR103W"
"202","YBR103W","Sif2p","SM00320",250,289,"SMART",1959955,"YBR103W"
"203","YBR103W","Sif2p","SM00320",348,387,"SMART",1959956,"YBR103W"
"204","YBR103W","Sif2p","SM00320",390,428,"SMART",1959957,"YBR103W"
"205","YBR103W","Sif2p","SM00320",431,470,"SMART",1959958,"YBR103W"
"206","YBR103W","Sif2p","SM00667",4,36,"SMART",1959959,"YBR103W"
"207","YBR103W","Sif2p","SSF50978",162,492,"SUPERFAMILY",1959960,"YBR103W"
"208","YBR112C","Cyc8p","G3DSA:1.25.40.10",8,131,"GENE3D",1946375,"YBR112C"
"209","YBR112C","Cyc8p","G3DSA:1.25.40.10",132,204,"GENE3D",1946376,"YBR112C"
"210","YBR112C","Cyc8p","G3DSA:1.25.40.10",205,283,"GENE3D",1946377,"YBR112C"
"211","YBR112C","Cyc8p","G3DSA:1.25.40.10",284,319,"GENE3D",1946378,"YBR112C"
"212","YBR112C","Cyc8p","G3DSA:1.25.40.10",354,423,"GENE3D",1946379,"YBR112C"
"213","YBR112C","Cyc8p","PF00515",332,361,"Pfam",1946380,"YBR112C"
"214","YBR112C","Cyc8p","PS50005",46,79,"PROSITE",1946382,"YBR112C"
"215","YBR112C","Cyc8p","PS50005",80,113,"PROSITE",1946383,"YBR112C"
"216","YBR112C","Cyc8p","PS50005",114,147,"PROSITE",1946384,"YBR112C"
"217","YBR112C","Cyc8p","PS50005",150,183,"PROSITE",1946385,"YBR112C"
"218","YBR112C","Cyc8p","PS50005",187,220,"PROSITE",1946386,"YBR112C"
"219","YBR112C","Cyc8p","PS50005",224,257,"PROSITE",1946387,"YBR112C"
"220","YBR112C","Cyc8p","PS50005",262,295,"PROSITE",1946388,"YBR112C"
"221","YBR112C","Cyc8p","PS50005",296,329,"PROSITE",1946389,"YBR112C"
"222","YBR112C","Cyc8p","PS50005",330,363,"PROSITE",1946390,"YBR112C"
"223","YBR112C","Cyc8p","PS50293",46,398,"PROSITE",1946391,"YBR112C"
"224","YBR112C","Cyc8p","SM00028",46,79,"SMART",1946394,"YBR112C"
"225","YBR112C","Cyc8p","SM00028",80,113,"SMART",1946395,"YBR112C"
"226","YBR112C","Cyc8p","SM00028",114,147,"SMART",1946396,"YBR112C"
"227","YBR112C","Cyc8p","SM00028",150,183,"SMART",1946397,"YBR112C"
"228","YBR112C","Cyc8p","SM00028",187,220,"SMART",1946398,"YBR112C"
"229","YBR112C","Cyc8p","SM00028",224,257,"SMART",1946399,"YBR112C"
"230","YBR112C","Cyc8p","SM00028",258,295,"SMART",1946400,"YBR112C"
"231","YBR112C","Cyc8p","SM00028",296,329,"SMART",1946401,"YBR112C"
"232","YBR112C","Cyc8p","SM00028",330,363,"SMART",1946402,"YBR112C"
"233","YBR112C","Cyc8p","SM00028",364,398,"SMART",1946403,"YBR112C"
"234","YBR112C","Cyc8p","SSF48452",22,409,"SUPERFAMILY",1946404,"YBR112C"
"235","YBR136W","Mec1p","G3DSA:1.25.40.10",1399,1922,"GENE3D",1958993,"YBR136W"
"236","YBR136W","Mec1p","PF02259",1571,1853,"Pfam",1958996,"YBR136W"
"237","YBR136W","Mec1p","PF02260",2338,2368,"Pfam",1958997,"YBR136W"
"238","YBR136W","Mec1p","PS51190",2336,2368,"PROSITE",1959003,"YBR136W"
"239","YBR136W","Mec1p","SM01343",2336,2368,"SMART",1959008,"YBR136W"
"240","YBR155W","Cns1p","G3DSA:1.25.40.10",153,231,"GENE3D",1955824,"YBR155W"
"241","YBR155W","Cns1p","PF00515",124,154,"Pfam",1955825,"YBR155W"
"242","YBR155W","Cns1p","PS50293",83,188,"PROSITE",1955826,"YBR155W"
"243","YBR155W","Cns1p","SM00028",83,116,"SMART",1955829,"YBR155W"
"244","YBR155W","Cns1p","SM00028",121,154,"SMART",1955830,"YBR155W"
"245","YBR155W","Cns1p","SSF48452",81,211,"SUPERFAMILY",1955831,"YBR155W"
"246","YBR172C","Smy2p","PF02213",208,263,"Pfam",1955487,"YBR172C"
"247","YBR172C","Smy2p","PS50829",205,261,"PROSITE",1955488,"YBR172C"
"248","YBR172C","Smy2p","SM00444",206,260,"SMART",1955491,"YBR172C"
"249","YBR175W","Swd3p","G3DSA:2.130.10.10",8,158,"GENE3D",1959095,"YBR175W"
"250","YBR175W","Swd3p","PF00400",52,81,"Pfam",1959098,"YBR175W"
"251","YBR175W","Swd3p","PF00400",88,124,"Pfam",1959099,"YBR175W"
"252","YBR175W","Swd3p","PF00400",129,167,"Pfam",1959100,"YBR175W"
"253","YBR175W","Swd3p","PF00400",188,217,"Pfam",1959101,"YBR175W"
"254","YBR175W","Swd3p","PS50082",92,133,"PROSITE",1959103,"YBR175W"
"255","YBR175W","Swd3p","PS50082",134,176,"PROSITE",1959104,"YBR175W"
"256","YBR175W","Swd3p","PS50082",192,217,"PROSITE",1959105,"YBR175W"
"257","YBR175W","Swd3p","PS50294",51,226,"PROSITE",1959106,"YBR175W"
"258","YBR175W","Swd3p","SM00320",4,40,"SMART",1959109,"YBR175W"
"259","YBR175W","Swd3p","SM00320",43,83,"SMART",1959110,"YBR175W"
"260","YBR175W","Swd3p","SM00320",85,124,"SMART",1959111,"YBR175W"
"261","YBR175W","Swd3p","SM00320",127,167,"SMART",1959112,"YBR175W"
"262","YBR175W","Swd3p","SM00320",170,217,"SMART",1959113,"YBR175W"
"263","YBR175W","Swd3p","SM00320",230,269,"SMART",1959114,"YBR175W"
"264","YBR175W","Swd3p","SM00320",272,313,"SMART",1959115,"YBR175W"
"265","YBR175W","Swd3p","SSF50978",16,312,"SUPERFAMILY",1959116,"YBR175W"
"266","YBR195C","Msi1p","G3DSA:2.130.10.10",18,422,"GENE3D",1946038,"YBR195C"
"267","YBR195C","Msi1p","PF00400",377,413,"Pfam",1946039,"YBR195C"
"268","YBR195C","Msi1p","PS50082",292,334,"PROSITE",1946045,"YBR195C"
"269","YBR195C","Msi1p","PS50082",336,379,"PROSITE",1946046,"YBR195C"
"270","YBR195C","Msi1p","PS50294",196,422,"PROSITE",1946047,"YBR195C"
"271","YBR195C","Msi1p","SM00320",119,158,"SMART",1946050,"YBR195C"
"272","YBR195C","Msi1p","SM00320",189,229,"SMART",1946051,"YBR195C"
"273","YBR195C","Msi1p","SM00320",240,280,"SMART",1946052,"YBR195C"
"274","YBR195C","Msi1p","SM00320",285,325,"SMART",1946053,"YBR195C"
"275","YBR195C","Msi1p","SM00320",330,370,"SMART",1946054,"YBR195C"
"276","YBR195C","Msi1p","SM00320",371,413,"SMART",1946055,"YBR195C"
"277","YBR195C","Msi1p","SSF50978",125,162,"SUPERFAMILY",1946056,"YBR195C"
"278","YBR195C","Msi1p","SSF50978",199,414,"SUPERFAMILY",1946057,"YBR195C"
"279","YBR198C","Taf5p","G3DSA:2.130.10.10",1,268,"GENE3D",1959168,"YBR198C"
"280","YBR198C","Taf5p","G3DSA:2.130.10.10",329,502,"GENE3D",1959169,"YBR198C"
"281","YBR198C","Taf5p","G3DSA:2.130.10.10",589,651,"GENE3D",1959170,"YBR198C"
"282","YBR198C","Taf5p","PF00400",458,494,"Pfam",1959174,"YBR198C"
"283","YBR198C","Taf5p","PF00400",519,553,"Pfam",1959175,"YBR198C"
"284","YBR198C","Taf5p","PF00400",561,595,"Pfam",1959176,"YBR198C"
"285","YBR198C","Taf5p","PF00400",601,637,"Pfam",1959177,"YBR198C"
"286","YBR198C","Taf5p","PF00400",643,679,"Pfam",1959178,"YBR198C"
"287","YBR198C","Taf5p","PF00400",684,722,"Pfam",1959179,"YBR198C"
"288","YBR198C","Taf5p","PF08513",59,84,"Pfam",1959181,"YBR198C"
"289","YBR198C","Taf5p","PS50082",462,503,"PROSITE",1959188,"YBR198C"
"290","YBR198C","Taf5p","PS50082",521,562,"PROSITE",1959189,"YBR198C"
"291","YBR198C","Taf5p","PS50082",563,595,"PROSITE",1959190,"YBR198C"
"292","YBR198C","Taf5p","PS50082",605,646,"PROSITE",1959191,"YBR198C"
"293","YBR198C","Taf5p","PS50082",647,688,"PROSITE",1959192,"YBR198C"
"294","YBR198C","Taf5p","PS50082",695,731,"PROSITE",1959193,"YBR198C"
"295","YBR198C","Taf5p","PS50294",462,731,"PROSITE",1959194,"YBR198C"
"296","YBR198C","Taf5p","PS50896",56,88,"PROSITE",1959195,"YBR198C"
"297","YBR198C","Taf5p","SM00320",455,494,"SMART",1959198,"YBR198C"
"298","YBR198C","Taf5p","SM00320",514,553,"SMART",1959199,"YBR198C"
"299","YBR198C","Taf5p","SM00320",556,595,"SMART",1959200,"YBR198C"
"300","YBR198C","Taf5p","SM00320",598,637,"SMART",1959201,"YBR198C"
"301","YBR198C","Taf5p","SM00320",640,679,"SMART",1959202,"YBR198C"
"302","YBR198C","Taf5p","SM00320",682,722,"SMART",1959203,"YBR198C"
"303","YBR198C","Taf5p","SM00667",56,88,"SMART",1959204,"YBR198C"
"304","YBR198C","Taf5p","SSF50978",454,725,"SUPERFAMILY",1959206,"YBR198C"
"305","YBR198C","Taf5p","SSF50978",766,792,"SUPERFAMILY",1959207,"YBR198C"
"306","YBR200W","Bem1p","PF00018",78,123,"Pfam",1952107,"YBR200W"
"307","YBR200W","Bem1p","PF00018",161,209,"Pfam",1952108,"YBR200W"
"308","YBR200W","Bem1p","PS50002",72,132,"PROSITE",1952110,"YBR200W"
