filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment ROIs ID
PSY106 colony 25C 01 m-35.csv,Mito 9,10,0.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587.06,1920.76,1172.65,349450.94,246.71,12.37,45.36,2.1,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-35.csv,Mito 17,18,0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569.5,1941.98,1062.42,403719.28,242.71,6.76,44.7,2.33,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-35.csv,Mito 18,19,0.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,596.19,1924.52,1166.51,159812.33,336.72,13.66,47,2.56,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-35.csv,Mito 35,36,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654.58,1369.15,950.92,247238.67,144.02,8.32,43.65,2.9,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-35.csv,Mito 36,37,0.0583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701.16,1146.5,859.35,42108.38,99.8,8.25,45.81,2.77,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-35.csv,Mito 37,38,0.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527.62,1612.77,990.73,368550.78,258.45,10.09,48.07,3.02,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-35.csv,Mito 38,39,0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,769.46,1386.39,1085.08,150826.41,158.17,11.26,49.62,2.58,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-35.csv,Mito 40,41,0.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.47,1837.47,981.49,813656,259.76,12.07,48.57,2.51,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-50.csv,ROIs 1,1,313.88,433,1376,657.16,173000000,80.95,213,874,316.07,83319346,52.39,191.48,6519.07,662.67,175000000,197.14,NA,NA,NA,PSY106 colony 25C,ROIs,Object,47.22,7353.54,324.4,85515784,267.59,9,NA
PSY106 colony 25C 01 m-50.csv,Mito 2,3,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652.02,1564.33,1013.99,215979.89,226.85,9.03,45.41,1.95,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-50.csv,Mito 8,9,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,544.84,1941.98,1039.73,681026.19,230.89,6.8,44.52,2.33,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-50.csv,Mito 9,10,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524.52,1385.91,913.07,240138.48,204.21,9.66,44.35,2.36,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-50.csv,Mito 10,11,0.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512.07,1920.76,1138.99,564941.25,238.64,12.36,45.36,2.07,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-50.csv,Mito 19,20,0.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,522.78,1924.52,1121.77,194065.5,335.03,13.66,47,2.58,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-50.csv,Mito 29,30,0.0964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701.16,1168,886.84,71834.43,112.85,8.26,45.8,2.81,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-50.csv,Mito 31,32,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652.24,1369.15,946.8,327591.59,155.55,8.33,43.65,2.9,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-50.csv,Mito 32,33,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527.62,1727,1012,765074.63,243.19,10.41,48.49,2.9,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-50.csv,Mito 35,36,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.47,1837.47,950.69,1035303.31,263.03,12.08,48.57,2.56,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 03 m-25.csv,ROIs 1,1,276.28,450,1143,665.12,154000000,70.85,216,1408,359.93,83513712,102.51,268.41,8019.48,671.09,156000000,175.07,NA,NA,NA,PSY106 colony 25C,ROIs,Object,6.94,14950.54,375.22,87061616,506.32,3,NA
PSY106 colony 25C 03 m-25.csv,Mito 13,14,0.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580.67,1602.92,1040.15,386935.69,214.4,70.06,38.71,2.5,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 03 m-25.csv,Mito 17,18,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,563.98,1861.26,1053.39,1817095,202.61,71.54,43.48,2.29,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 03 m-25.csv,Mito 30,31,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,517.73,1706.85,1013.76,1636211.88,227.72,67.76,41.11,2.42,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 03 m-35.csv,ROIs 1,1,276.28,450,1143,665.12,154000000,70.85,216,1408,359.93,83513712,102.51,268.41,8019.48,671.09,156000000,175.07,NA,NA,NA,PSY106 colony 25C,ROIs,Object,6.94,14950.54,375.22,87061616,506.32,3,NA
PSY106 colony 25C 03 m-35.csv,Mito 2,3,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542.52,1861.26,1047.64,2140331.25,204.43,71.52,43.48,2.29,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 03 m-35.csv,Mito 14,15,0.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558.56,1602.92,1026.43,423914.66,213.05,70.05,38.72,2.5,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 03 m-35.csv,Mito 32,33,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505.18,1706.85,1008.75,1850040,228.24,67.77,41.12,2.42,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 03 m-50.csv,ROIs 1,1,276.28,450,1143,665.12,154000000,70.85,216,1408,359.93,83513712,102.51,268.41,8019.48,671.09,156000000,175.07,NA,NA,NA,PSY106 colony 25C,ROIs,Object,6.94,14950.54,375.22,87061616,506.32,2,NA
PSY106 colony 25C 03 m-50.csv,Mito 3,4,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558.56,1602.92,1012.86,530738.5,211.12,70.05,38.72,2.47,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 03 m-50.csv,Mito 27,28,5.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,485.76,2119.41,1017.05,4984560,220.36,69.78,42.39,2.35,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 04 m-25.csv,ROIs 1,1,320.59,456,1418,677.61,182000000,81.06,218,1617,400.04,108000000,122.66,250.09,11278.81,687.95,185000000,210.77,NA,NA,NA,PSY106 colony 25C,ROIs,Object,2.35,23611.19,419.65,113000000,741.55,5,NA
PSY106 colony 25C 04 m-25.csv,Mito 1,2,0.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550.51,1668.16,1001.02,501511.53,215.9,70.34,21.67,2.2,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 04 m-25.csv,Mito 3,4,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542.47,2008.2,1004.14,2122742.5,290.38,67.19,21.29,2.82,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 04 m-25.csv,Mito 24,25,0.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,596.77,6579.95,1397.42,754604.19,658.88,69.87,23.97,2.7,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 04 m-25.csv,Mito 33,34,0.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628.41,1708.82,914.08,226692.2,223.02,68.01,24.81,3.11,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 04 m-25.csv,Mito 34,35,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508.65,2111.04,896.74,2020362.75,219.86,71.82,25.93,3.15,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 04 m-35.csv,ROIs 1,1,320.59,456,1418,677.61,182000000,81.06,218,1617,400.04,108000000,122.66,250.09,11278.81,687.95,185000000,210.77,NA,NA,NA,PSY106 colony 25C,ROIs,Object,2.35,23611.19,419.65,113000000,741.55,5,NA
PSY106 colony 25C 04 m-35.csv,Mito 1,2,0.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550.51,1668.16,991.01,564877.06,216.34,70.33,21.67,2.22,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 04 m-35.csv,Mito 4,5,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534.71,2008.2,1000.16,2351384,293.16,67.18,21.3,2.82,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 04 m-35.csv,Mito 25,26,0.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577.83,7253.96,1396.05,846007.19,693.15,69.88,23.97,2.69,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 04 m-35.csv,Mito 26,27,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628.41,1708.82,916.37,253833.16,226.28,68,24.81,3.1,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 04 m-35.csv,Mito 34,35,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476.54,2625.31,893.93,2319759.75,220.42,71.82,25.93,3.16,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 04 m-50.csv,ROIs 1,1,320.59,456,1418,677.61,182000000,81.06,218,1617,400.04,108000000,122.66,250.09,11278.81,687.95,185000000,210.77,NA,NA,NA,PSY106 colony 25C,ROIs,Object,2.35,23611.19,419.65,113000000,741.55,5,NA
PSY106 colony 25C 04 m-50.csv,Mito 1,2,0.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550.51,1668.16,984.04,706538.69,215.08,70.33,21.68,2.23,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 04 m-50.csv,Mito 22,23,0.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577.83,9635.09,1395.97,1016267.44,757.59,69.87,23.98,2.71,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 04 m-50.csv,Mito 23,24,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594.17,1740.49,921.64,313357.28,241.99,68,24.81,3.09,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 04 m-50.csv,Mito 24,25,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475.34,2625.31,883.75,3044520.75,215.26,71.82,25.92,3.17,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 04 m-50.csv,Mito 30,31,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476.36,2065.65,976.91,2893598.25,296.59,67.17,21.32,2.84,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-25.csv,ROIs 1,1,439.68,418,1161,621.49,229000000,61.63,211,1273,334.37,123000000,77.29,247.39,7431.83,621.53,230000000,159.82,NA,NA,NA,PSY106 colony 25C 10,ROIs,Object,3.68,14983.39,342.25,126000000,402.74,12,NA
PSY106 colony 25C 10 01 m-25.csv,Mito 1,2,0.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542.73,1748.9,947.34,279464.88,241.88,8.06,55.2,2.23,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-25.csv,Mito 4,5,0.0524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564.31,1873.99,969.28,42648.16,292.87,8.33,55.49,2.37,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-25.csv,Mito 5,6,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.98,1627.56,958.13,142761.14,330.96,13.24,56.53,2.53,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-25.csv,Mito 6,7,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355.94,2285.81,710.92,241714.39,259.26,11.74,58.12,2.58,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-25.csv,Mito 7,8,0.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635.28,1949.61,980.03,318510.5,210.28,9.73,60.15,2.52,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-25.csv,Mito 8,9,0.0119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516.23,638.15,581.92,5819.21,41.2,9.82,60.78,2.16,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-25.csv,Mito 9,10,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,679.96,1656.65,955.42,84077.16,234.34,9.44,61.21,2.23,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-25.csv,Mito 26,27,0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432.18,2220.74,848.79,533040.5,278.52,12.49,54.18,2.62,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-25.csv,Mito 27,28,0.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.55,1191.81,714.66,278002.44,122.95,9.23,56.98,2.88,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-25.csv,Mito 37,38,0.0929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582.16,1518.59,930.33,72566.08,259.46,8.09,56.1,2.87,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-25.csv,Mito 38,39,0.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420.89,2685.65,1119.65,443379.91,401.94,10.31,59.34,2.62,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-25.csv,Mito 39,40,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531.58,1517.3,891.41,467100.56,198.99,12.55,62.77,2.49,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-35.csv,ROIs 1,1,439.68,418,1161,621.49,229000000,61.63,211,1273,334.37,123000000,77.29,247.39,7431.83,621.53,230000000,159.82,NA,NA,NA,PSY106 colony 25C 10,ROIs,Object,3.68,14983.39,342.25,126000000,402.74,10,NA
PSY106 colony 25C 10 01 m-35.csv,Mito 1,2,0.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542.73,1748.9,937.49,323434.88,239.26,8.06,55.2,2.24,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-35.csv,Mito 6,7,0.0619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564.31,1873.99,982.98,51114.71,301,8.33,55.48,2.38,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-35.csv,Mito 7,8,0.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478.1,1627.56,956.7,158812.92,327.23,13.24,56.54,2.51,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-35.csv,Mito 8,9,0.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355.94,2285.81,706.13,276097.94,257.1,11.73,58.12,2.59,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-35.csv,Mito 9,10,0.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635.28,1949.61,974.98,382192.47,207.51,9.73,60.17,2.51,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-35.csv,Mito 10,11,0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504.09,1656.65,875.3,123417.85,243.62,9.5,61.13,2.23,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-35.csv,Mito 24,25,0.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384.52,2220.74,839.14,618447.81,274.34,12.48,54.18,2.62,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-35.csv,Mito 25,26,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394.61,2777.44,905.14,866220,362.37,9.76,58.14,2.74,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-35.csv,Mito 33,34,0.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582.16,1518.59,925.82,90729.93,251.26,8.08,56.1,2.87,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-35.csv,Mito 34,35,0.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531.58,1517.3,888.08,550610.81,201.91,12.53,62.78,2.5,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-50.csv,ROIs 1,1,439.68,418,1161,621.49,229000000,61.63,211,1273,334.37,123000000,77.29,247.39,7431.83,621.53,230000000,159.82,NA,NA,NA,PSY106 colony 25C 10,ROIs,Object,3.68,14983.39,342.25,126000000,402.74,7,NA
PSY106 colony 25C 10 01 m-50.csv,Mito 1,2,0.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511.03,2031.08,931.29,667734.81,251.59,8.11,55.4,2.38,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-50.csv,Mito 6,7,0.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463.21,1627.56,932.56,190242.33,319,13.24,56.55,2.52,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-50.csv,Mito 7,8,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313.9,2285.81,701.68,353644.69,255.27,11.73,58.13,2.59,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-50.csv,Mito 8,9,0.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504.09,2018.98,926,766727.06,222.55,9.66,60.47,2.41,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 10 01 m-50.csv,Mito 19,20,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384.52,2220.74,826.9,769012.63,268.13,12.48,54.17,2.62,PSY106 colony 25C 10,Mito,Object,NA,NA,NA,NA,NA,NA,1
