"","proteins$`Gene > Proteins > Systematic Name`","n()"
"94","YGR123C",27
"95","YGR204W",27
"96","YHR042W",27
"97","YHR099W",27
"98","YIL143C",27
"99","YLR212C",27
"100","YOR326W",27
"101","YPL268W",27
"102","YBL075C",26
"103","YBR202W",26
"104","YCL030C",26
"105","YEL037C",26
"106","YER171W",26
"107","YFL018C",26
"108","YGL009C",26
"109","YGL097W",26
"110","YGL190C",26
"111","YGL234W",26
"112","YKL213C",26
"113","YLL011W",26
"114","YLR429W",26
"115","YNL189W",26
"116","YOR370C",26
"117","YPL183C",26
"118","YAL026C",25
"119","YAL048C",25
"120","YBL022C",25
"121","YBL023C",25
"122","YBR115C",25
"123","YCR014C",25
"124","YDR129C",25
"125","YEL030W",25
"126","YEL031W",25
"127","YER166W",25
"128","YGL201C",25
"129","YIL033C",25
"130","YIL048W",25
"131","YIL126W",25
"132","YJR045C",25
"133","YKL021C",25
"134","YKL173W",25
"135","YKR009C",25
"136","YKR054C",25
"137","YLR409C",25
"138","YML072C",25
"139","YMR102C",25
"140","YMR205C",25
"141","YNL087W",25
"142","YNL256W",25
"143","YOR005C",25
"144","YOR086C",25
"145","YPL017C",25
"146","YPR112C",25
"147","YAR050W",24
"148","YBL007C",24
"149","YBR097W",24
"150","YDL126C",24
"151","YDR364C",24
"152","YEL032W",24
"153","YER136W",24
"154","YGR240C",24
"155","YJL102W",24
"156","YJR091C",24
"157","YKL164C",24
"158","YKL190W",24
"159","YLL026W",24
"160","YLR117C",24
"161","YLR274W",24
"162","YLR419W",24
"163","YLR450W",24
"164","YML075C",24
"165","YMR190C",24
"166","YNL014W",24
"167","YOR113W",24
"168","YOR291W",24
"169","YPL091W",24
"170","YPL110C",24
"171","YPL226W",24
"172","YPR019W",24
"173","YPR042C",24
"174","YAL005C",23
"175","YBR136W",23
"176","YDL229W",23
"177","YDL240W",23
"178","YDR142C",23
"179","YDR373W",23
"180","YER103W",23
"181","YER155C",23
"182","YFL016C",23
"183","YGR094W",23
"184","YGR116W",23
"185","YGR246C",23
"186","YGR258C",23
"187","YIL078W",23
"188","YIL079C",23
"189","YJL034W",23
"190","YJR032W",23
"191","YKL163W",23
"192","YKL210W",23
"193","YLL024C",23
"194","YLL048C",23
"195","YLR249W",23
"196","YLR289W",23
"197","YLR369W",23
"198","YMR162C",23
"199","YNL064C",23
"200","YNL209W",23
"201","YOR304W",23
"202","YPR086W",23
"203","YAL041W",22
"204","YAL063C",22
"205","YBR020W",22
"206","YBR058C",22
"207","YBR175W",22
"208","YBR245C",22
"209","YDL175C",22
"210","YDL203C",22
"211","YDR093W",22
"212","YDR135C",22
"213","YDR172W",22
"214","YDR353W",22
"215","YFR023W",22
"216","YGL131C",22
"217","YGL195W",22
"218","YGR233C",22
"219","YHL002W",22
"220","YHL035C",22
"221","YHR023W",22
"222","YHR106W",22
"223","YIR006C",22
"224","YJL200C",22
"225","YJR040W",22
"226","YKL184W",22
"227","YKL209C",22
"228","YKL211C",22
"229","YLL015W",22
"230","YLR032W",22
"231","YLR090W",22
"232","YLR240W",22
"233","YLR304C",22
"234","YMR092C",22
"235","YMR217W",22
"236","YNL077W",22
"237","YNL083W",22
"238","YNL123W",22
"239","YNL227C",22
"240","YNL317W",22
"241","YOR187W",22
"242","YPL106C",22
"243","YPL231W",22
"244","YPR048W",22
"245","YAL038W",21
"246","YBL030C",21
"247","YBL061C",21
"248","YBR080C",21
"249","YBR085W",21
"250","YBR200W",21
"251","YDL195W",21
"252","YDR009W",21
"253","YDR128W",21
"254","YDR264C",21
"255","YER075C",21
"256","YGL245W",21
"257","YGL254W",21
"258","YGR061C",21
"259","YGR281W",21
"260","YHR018C",21
"261","YHR120W",21
"262","YHR154W",21
"263","YHR176W",21
"264","YIL147C",21
"265","YJR090C",21
"266","YLR382C",21
"267","YMR049C",21
"268","YMR056C",21
"269","YMR109W",21
"270","YMR214W",21
"271","YNL023C",21
"272","YOL006C",21
"273","YOR330C",21
"274","YOR347C",21
"275","YPL043W",21
"276","YPL153C",21
"277","Q0070",20
"278","YBL106C",20
"279","YBR055C",20
"280","YBR103W",20
"281","YBR114W",20
"282","YBR118W",20
"283","YBR121C",20
"284","YBR169C",20
"285","YBR195C",20
"286","YCL043C",20
"287","YDL143W",20
"288","YDR188W",20
"289","YDR212W",20
"290","YDR258C",20
"291","YDR300C",20
"292","YDR341C",20
"293","YER013W",20
"294","YER107C",20
"295","YER169W",20
"296","YGL043W",20
"297","YGR232W",20
"298","YGR254W",20
"299","YHR020W",20
"300","YHR033W",20
"301","YHR079C",20
"302","YHR174W",20
"303","YIL043C",20
"304","YIL112W",20
"305","YIL142W",20
"306","YJL008C",20
"307","YJL014W",20
"308","YKL129C",20
"309","YKR066C",20
"310","YLR247C",20
"311","YLR399C",20
"312","YMR093W",20
"313","YMR146C",20
"314","YMR323W",20
"315","YOR080W",20
"316","YOR191W",20
"317","YOR303W",20
"318","YOR335C",20
"319","YOR393W",20
"320","YPL082C",20
"321","YPL281C",20
"322","YPR081C",20
"323","Q0045",19
"324","Q0065",19
"325","Q0250",19
"326","YAR042W",19
"327","YCR088W",19
"328","YDL070W",19
"329","YDR096W",19
"330","YDR097C",19
"331","YDR324C",19
"332","YER069W",19
"333","YFL039C",19
"334","YGR056W",19
"335","YGR109W-B",19
"336","YGR256W",19
"337","YGR264C",19
"338","YHR005C",19
"339","YHR091C",19
"340","YHR183W",19
"341","YHR211W",19
"342","YHR216W",19
"343","YIL001W",19
"344","YIL082W-A",19
"345","YJL050W",19
"346","YJL090C",19
"347","YJL111W",19
"348","YJR064W",19
"349","YKL029C",19
"350","YKL113C",19
"351","YKL127W",19
"352","YKL150W",19
"353","YKR001C",19
"354","YKR031C",19
"355","YLL001W",19
"356","YLR234W",19
"357","YLR362W",19
"358","YLR432W",19
"359","YML010W",19
"360","YML087C",19
"361","YML125C",19
"362","YMR105C",19
"363","YMR186W",19
"364","YMR268C",19
"365","YNL298W",19
"366","YNR006W",19
"367","YOR034C",19
"368","YOR168W",19
"369","YOR222W",19
"370","YPL040C",19
"371","YPL167C",19
"372","YPL240C",19
"373","YPL259C",19
"374","YAL035W",18
"375","YBL004W",18
"376","YBL032W",18
"377","YBL076C",18
"378","YBL088C",18
"379","YBR109C",18
"380","YBR196C",18
"381","YCL039W",18
"382","YCR012W",18
"383","YCR092C",18
"384","YDL019C",18
"385","YDL031W",18
"386","YDL132W",18
"387","YDL231C",18
"388","YDR011W",18
"389","YDR234W",18
"390","YDR263C",18
"391","YDR406W",18
"392","YER043C",18
"393","YER070W",18
"394","YFL003C",18
"395","YFL005W",18
"396","YFL033C",18
"397","YFR019W",18
"398","YFR030W",18
"399","YGL055W",18
"400","YGL100W",18
"401","YGR217W",18
"402","YGR250C",18
"403","YHR002W",18
"404","YHR007C",18
"405","YHR114W",18
"406","YHR205W",18
"407","YIL066C",18
"408","YIL155C",18
"409","YJL088W",18
"410","YJL109C",18
"411","YKR084C",18
"412","YLR207W",18
"413","YLR216C",18
"414","YLR259C",18
"415","YLR357W",18
"416","YML056C",18
"417","YML059C",18
"418","YMR001C",18
"419","YMR018W",18
"420","YMR023C",18
"421","YNL016W",18
"422","YNL061W",18
"423","YNR033W",18
"424","YOL023W",18
"425","YOL090W",18
"426","YOL113W",18
"427","YOL138C",18
"428","YOR033C",18
"429","YOR128C",18
"430","YOR153W",18
"431","YOR254C",18
"432","YOR257W",18
"433","YOR328W",18
"434","YPL134C",18
"435","YPL184C",18
"436","YPR088C",18
"437","YPR107C",18
"438","YBL017C",17
"439","YBL085W",17
"440","YBR025C",17
"441","YBR088C",17
"442","YBR212W",17
"443","YBR214W",17
"444","YBR233W",17
"445","YBR264C",17
"446","YCL011C",17
"447","YCL040W",17
"448","YDL014W",17
"449","YDL022W",17
"450","YDL029W",17
"451","YDL104C",17
"452","YDL167C",17
"453","YDR030C",17
"454","YDR037W",17
"455","YDR244W",17
"456","YDR292C",17
"457","YDR358W",17
"458","YDR516C",17
"459","YEL056W",17
"460","YER003C",17
"461","YER020W",17
"462","YER025W",17
"463","YER031C",17
"464","YER114C",17
"465","YFL038C",17
"466","YFL047W",17
"467","YFR053C",17
"468","YGL115W",17
"469","YGL116W",17
"470","YGL210W",17
"471","YGL253W",17
"472","YGR003W",17
"473","YGR070W",17
"474","YGR088W",17
"475","YGR171C",17
"476","YHL027W",17
"477","YHL033C",17
"478","YHR015W",17
"479","YHR108W",17
"480","YHR168W",17
"481","YHR206W",17
"482","YIL107C",17
"483","YIL118W",17
"484","YIL131C",17
"485","YJL010C",17
"486","YJL155C",17
"487","YKL197C",17
"488","YKR008W",17
"489","YKR014C",17
"490","YKR055W",17
"491","YLL045C",17
"492","YLR131C",17
"493","YLR262C",17
"494","YLR293C",17
"495","YLR310C",17
"496","YLR398C",17
"497","YML001W",17
"498","YML064C",17
"499","YML088W",17
"500","YML102W",17
"501","YMR176W",17
"502","YNL027W",17
"503","YNL049C",17
"504","YNL068C",17
"505","YNL093W",17
"506","YNL098C",17
"507","YNL102W",17
"508","YNL180C",17
"509","YNL262W",17
"510","YNL271C",17
"511","YOL004W",17
"512","YOL021C",17
"513","YOR089C",17
"514","YOR101W",17
"515","YOR122C",17
"516","YOR142W",17
"517","YOR185C",17
"518","YOR208W",17
"519","YOR346W",17
"520","YPL104W",17
"521","YPR104C",17
"522","YPR181C",17
"523","YAL036C",16
"524","YAR073W",16
"525","YBR117C",16
"526","YCR027C",16
"527","YDL040C",16
"528","YDL051W",16
"529","YDL056W",16
"530","YDL058W",16
"531","YDL102W",16
"532","YDL138W",16
"533","YDL164C",16
"534","YDL194W",16
"535","YDL205C",16
"536","YDL227C",16
"537","YDL230W",16
"538","YDL245C",16
"539","YDR023W",16
"540","YDR122W",16
"541","YDR146C",16
"542","YDR256C",16
"543","YDR321W",16
"544","YDR334W",16
"545","YDR342C",16
"546","YDR343C",16
"547","YDR345C",16
"548","YDR387C",16
"549","YDR416W",16
"550","YDR436W",16
"551","YDR496C",16
"552","YDR497C",16
"553","YEL061C",16
"554","YER066W",16
"555","YER111C",16
"556","YER148W",16
"557","YFL008W",16
"558","YFR031C",16
"559","YGL003C",16
"560","YGL124C",16
"561","YGL194C",16
"562","YGL251C",16
"563","YGR096W",16
"564","YGR152C",16
"565","YGR173W",16
"566","YGR192C",16
"567","YGR252W",16
"568","YHL014C",16
"569","YHR025W",16
"570","YHR086W",16
"571","YHR092C",16
"572","YHR094C",16
"573","YHR096C",16
"574","YHR098C",16
"575","YIL109C",16
"576","YIL129C",16
"577","YIL173W",16
"578","YJL045W",16
"579","YJL052W",16
"580","YJL059W",16
"581","YJL168C",16
"582","YJL214W",16
"583","YJL222W",16
"584","YJR009C",16
"585","YJR095W",16
"586","YJR119C",16
"587","YJR158W",16
"588","YKL148C",16
"589","YKR024C",16
"590","YKR103W",16
"591","YLR001C",16
"592","YLR086W",16
"593","YLR096W",16
"594","YLR113W",16
"595","YLR155C",16
"596","YLR157C",16
"597","YLR158C",16
"598","YLR160C",16
"599","YLR189C",16
"600","YLR208W",16
"601","YLR229C",16
"602","YLR371W",16
"603","YLR377C",16
"604","YML016C",16
"605","YML069W",16
"606","YMR128W",16
"607","YMR131C",16
"608","YNL004W",16
"609","YNL007C",16
"610","YNL045W",16
"611","YNL084C",16
"612","YNL090W",16
"613","YNL216W",16
"614","YNL218W",16
"615","YNL241C",16
"616","YNL267W",16
"617","YNL330C",16
"618","YNR070W",16
"619","YOL033W",16
"620","YOL059W",16
"621","YOL075C",16
"622","YOL087C",16
"623","YOL103W",16
"624","YOR007C",16
"625","YOR065W",16
"626","YOR093C",16
"627","YOR127W",16
"628","YOR151C",16
"629","YOR211C",16
"630","YOR217W",16
"631","YOR341W",16
"632","YOR386W",16
"633","YPL058C",16
"634","YPL115C",16
"635","YPL127C",16
"636","YPL179W",16
"637","YPL214C",16
"638","YPL242C",16
"639","YPR011C",16
"640","YPR021C",16
"641","YPR074C",16
"642","YPR165W",16
"643","YAL062W",15
"644","YAR007C",15
"645","YBL024W",15
"646","YBR001C",15
"647","YBR049C",15
"648","YBR229C",15
"649","YBR241C",15
"650","YCR024C",15
"651","YDL030W",15
"652","YDL101C",15
"653","YDL134C",15
"654","YDL156W",15
"655","YDL188C",15
"656","YDR001C",15
"657","YDR099W",15
"658","YDR211W",15
"659","YDR226W",15
"660","YDR323C",15
"661","YDR388W",15
"662","YDR430C",15
"663","YDR448W",15
"664","YDR502C",15
"665","YDR518W",15
"666","YEL006W",15
"667","YEL058W",15
"668","YEL060C",15
"669","YEL069C",15
"670","YER007W",15
"671","YER087W",15
"672","YER133W",15
"673","YER170W",15
"674","YER177W",15
"675","YFL002C",15
"676","YFL011W",15
"677","YFR037C",15
"678","YGL004C",15
"679","YGL019W",15
"680","YGL026C",15
"681","YGL056C",15
"682","YGL120C",15
"683","YGL150C",15
"684","YGL213C",15
"685","YGR100W",15
"686","YGR136W",15
"687","YGR155W",15
"688","YGR214W",15
"689","YGR270W",15
"690","YGR296W",15
"691","YHL004W",15
"692","YHL030W",15
"693","YHR011W",15
"694","YHR016C",15
"695","YHR119W",15
"696","YHR129C",15
"697","YHR203C",15
"698","YIL013C",15
"699","YJL033W",15
"700","YJL074C",15
"701","YJL219W",15
"702","YJR033C",15
"703","YJR096W",15
"704","YJR121W",15
"705","YJR145C",15
"706","YKL020C",15
"707","YKL073W",15
"708","YKL078W",15
"709","YKL081W",15
"710","YKL090W",15
"711","YKL121W",15
"712","YKL178C",15
"713","YKL194C",15
"714","YKR017C",15
"715","YKR038C",15
"716","YKR086W",15
"717","YLR028C",15
"718","YLR048W",15
"719","YLR060W",15
"720","YLR116W",15
"721","YLR180W",15
"722","YLR196W",15
"723","YLR299W",15
"724","YLR305C",15
"725","YLR345W",15
"726","YLR389C",15
"727","YLR417W",15
"728","YLR425W",15
"729","YLR433C",15
"730","YLR452C",15
"731","YML054C",15
"732","YML057W",15
"733","YMR011W",15
"734","YMR166C",15
"735","YMR276W",15
"736","YMR278W",15
"737","YMR290C",15
"738","YNL031C",15
"739","YNL073W",15
"740","YNL082W",15
"741","YNL161W",15
"742","YNL243W",15
"743","YNL318C",15
"744","YNL339C",15
"745","YNR011C",15
"746","YNR012W",15
"747","YNR032W",15
"748","YNR072W",15
"749","YOL156W",15
"750","YOR003W",15
"751","YOR011W",15
"752","YOR207C",15
"753","YOR351C",15
"754","YOR373W",15
"755","YOR375C",15
"756","YPL048W",15
"757","YPL126W",15
"758","YPL169C",15
"759","YPL247C",15
"760","YPL262W",15
"761","YPL283C",15
"762","YPR013C",15
"763","YPR047W",15
"764","Q0055",14
"765","Q0060",14
"766","YAL016W",14
"767","YAL017W",14
"768","YAL020C",14
"769","YAL058W",14
"770","YAR003W",14
"771","YBL063W",14
"772","YBL091C",14
"773","YBL099W",14
"774","YBR028C",14
"775","YBR039W",14
"776","YBR142W",14
"777","YBR149W",14
"778","YBR164C",14
"779","YBR192W",14
"780","YBR237W",14
"781","YBR239C",14
"782","YBR291C",14
"783","YCR005C",14
"784","YCR032W",14
"785","YDL047W",14
"786","YDL119C",14
"787","YDL137W",14
"788","YDL192W",14
"789","YDL208W",14
"790","YDR026C",14
"791","YDR044W",14
"792","YDR075W",14
"793","YDR144C",14
"794","YDR170C",14
"795","YDR216W",14
"796","YDR287W",14
"797","YDR330W",14
"798","YDR368W",14
"799","YDR379W",14
"800","YDR457W",14
"801","YDR477W",14
"802","YDR506C",14
"803","YDR536W",14
"804","YDR545W",14
"805","YEL026W",14
"806","YER036C",14
"807","YER081W",14
"808","YER093C",14
"809","YER130C",14
"810","YFL036W",14
"811","YFR009W",14
"812","YFR045W",14
"813","YGL040C",14
"814","YGL070C",14
"815","YGL094C",14
"816","YGL163C",14
"817","YGL171W",14
"818","YGL181W",14
"819","YGR188C",14
"820","YGR218W",14
"821","YHL007C",14
"822","YHL010C",14
"823","YHL024W",14
"824","YHR008C",14
"825","YHR019C",14
"826","YHR046C",14
"827","YHR064C",14
"828","YHR077C",14
"829","YHR104W",14
"830","YHR113W",14
"831","YIL006W",14
"832","YIL074C",14
"833","YIL124W",14
"834","YIL125W",14
"835","YIL170W",14
"836","YIR002C",14
"837","YIR033W",14
"838","YIR035C",14
"839","YJL138C",14
"840","YJR077C",14
"841","YJR097W",14
"842","YKL005C",14
"843","YKL024C",14
"844","YKL032C",14
"845","YKL055C",14
"846","YKL062W",14
"847","YKL103C",14
"848","YKL104C",14
"849","YKL120W",14
"850","YKL196C",14
"851","YKR099W",14
"852","YLL018C",14
"853","YLL066C",14
"854","YLR081W",14
"855","YLR120C",14
"856","YLR167W",14
"857","YLR175W",14
"858","YLR276C",14
"859","YLR397C",14
"860","YLR426W",14
"861","YLR446W",14
"862","YLR467W",14
"863","YML004C",14
"864","YML068W",14
"865","YML133C",14
"866","YMR037C",14
"867","YMR058W",14
"868","YMR061W",14
"869","YMR068W",14
"870","YMR120C",14
"871","YMR226C",14
"872","YMR231W",14
"873","YMR277W",14
"874","YMR304W",14
"875","YNL071W",14
"876","YNL104C",14
"877","YNL250W",14
"878","YNR001C",14
"879","YNR036C",14
"880","YOL049W",14
"881","YOR094W",14
"882","YOR108W",14
"883","YOR120W",14
"884","YOR353C",14
"885","YOR396W",14
"886","YPL028W",14
"887","YPL097W",14
"888","YPL131W",14
"889","YPL154C",14
"890","YPL160W",14
"891","YPL218W",14
"892","YPL248C",14
"893","YPL270W",14
"894","YPR001W",14
"895","YPR010C",14
"896","YPR015C",14
"897","YPR025C",14
"898","YPR122W",14
"899","YPR137W",14
"900","YPR154W",14
"901","YPR173C",14
"902","YPR184W",14
"903","YAL002W",13
"904","YAL019W",13
"905","YAL021C",13
"906","YAL023C",13
"907","YAL024C",13
"908","YBL003C",13
"909","YBL058W",13
"910","YBR073W",13
"911","YBR094W",13
"912","YBR143C",13
"913","YBR234C",13
"914","YBR248C",13
"915","YBR280C",13
"916","YBR297W",13
"917","YCR045C",13
"918","YCR066W",13
"919","YDL021W",13
"920","YDL114W",13
"921","YDL154W",13
"922","YDL155W",13
"923","YDL159W",13
"924","YDL160C",13
"925","YDR021W",13
"926","YDR069C",13
"927","YDR155C",13
"928","YDR158W",13
"929","YDR194C",13
"930","YDR225W",13
"931","YDR243C",13
"932","YDR253C",13
"933","YDR291W",13
"934","YDR298C",13
"935","YDR304C",13
"936","YDR311W",13
"937","YDR320C",13
"938","YDR376W",13
"939","YDR402C",13
"940","YDR409W",13
"941","YDR419W",13
"942","YDR481C",13
"943","YEL024W",13
"944","YEL050C",13
"945","YEL070W",13
"946","YER017C",13
"947","YER041W",13
"948","YER048C",13
"949","YER055C",13
"950","YER082C",13
"951","YER086W",13
"952","YER095W",13
"953","YER096W",13
"954","YER144C",13
"955","YER179W",13
"956","YER190W",13
"957","YFL041W",13
"958","YFL054C",13
"959","YFR031C-A",13
"960","YFR038W",13
"961","YGL035C",13
"962","YGL078C",13
"963","YGL106W",13
"964","YGL205W",13
"965","YGL209W",13
"966","YGR087C",13
"967","YGR092W",13
"968","YGR108W",13
"969","YGR109C",13
"970","YGR124W",13
"971","YGR170W",13
"972","YGR199W",13
"973","YGR234W",13
"974","YGR255C",13
"975","YGR288W",13
"976","YHR047C",13
"977","YHR065C",13
"978","YHR073W",13
"979","YHR147C",13
"980","YHR165C",13
"981","YHR204W",13
"982","YIL018W",13
"983","YIL042C",13
"984","YIL099W",13
"985","YIL134W",13
"986","YIL137C",13
"987","YIL148W",13
"988","YIL156W",13
"989","YIL160C",13
"990","YIR004W",13
"991","YIR039C",13
"992","YJL031C",13
"993","YJL105W",13
"994","YJL164C",13
"995","YJL172W",13
"996","YJL197W",13
"997","YJR017C",13
"998","YJR035W",13
"999","YJR063W",13
"1000","YJR065C",13
"1001","YJR070C",13
"1002","YJR131W",13
"1003","YJR143C",13
"1004","YKL018W",13
"1005","YKL019W",13
"1006","YKL067W",13
"1007","YKL092C",13
"1008","YKL126W",13
"1009","YKL157W",13
"1010","YKL171W",13
"1011","YKL188C",13
"1012","YKR052C",13
"1013","YKR056W",13
"1014","YKR069W",13
"1015","YKR094C",13
"1016","YLL008W",13
"1017","YLL034C",13
"1018","YLL041C",13
"1019","YLL067C",13
"1020","YLR005W",13
"1021","YLR044C",13
"1022","YLR067C",13
"1023","YLR121C",13
"1024","YLR134W",13
"1025","YLR210W",13
"1026","YLR244C",13
"1027","YLR309C",13
"1028","YLR330W",13
"1029","YLR359W",13
"1030","YLR383W",13
"1031","YLR403W",13
"1032","YLR466W",13
"1033","YML078W",13
"1034","YMR079W",13
"1035","YMR089C",13
"1036","YMR104C",13
"1037","YMR108W",13
"1038","YMR208W",13
"1039","YMR223W",13
"1040","YMR234W",13
"1041","YMR235C",13
"1042","YMR239C",13
"1043","YNL025C",13
"1044","YNL030W",13
"1045","YNL035C",13
"1046","YNL112W",13
"1047","YNL138W",13
"1048","YNL238W",13
"1049","YNL247W",13
"1050","YNL253W",13
"1051","YNL257C",13
"1052","YNR031C",13
"1053","YNR065C",13
"1054","YNR073C",13
"1055","YOL012C",13
"1056","YOL056W",13
"1057","YOL066C",13
"1058","YOL153C",13
"1059","YOR039W",13
"1060","YOR046C",13
"1061","YOR116C",13
"1062","YOR124C",13
"1063","YOR156C",13
"1064","YOR204W",13
"1065","YOR232W",13
"1066","YOR251C",13
"1067","YOR267C",13
"1068","YOR321W",13
"1069","YOR361C",13
"1070","YOR367W",13
"1071","YPL008W",13
"1072","YPL086C",13
"1073","YPL111W",13
"1074","YPL119C",13
"1075","YPL147W",13
"1076","YPL155C",13
"1077","YPL203W",13
"1078","YPR031W",13
"1079","YPR111W",13
"1080","YPR119W",13
"1081","YPR120C",13
"1082","YPR145W",13
"1083","YPR152C",13
"1084","YPR192W",13
"1085","Q0115",12
"1086","Q0120",12
"1087","YAL003W",12
"1088","YAL022C",12
"1089","YAL054C",12
"1090","YBL002W",12
"1091","YBL016W",12
"1092","YBL037W",12
"1093","YBL050W",12
"1094","YBL100W-B",12
"1095","YBR048W",12
"1096","YBR066C",12
"1097","YBR081C",12
"1098","YBR133C",12
"1099","YBR135W",12
"1100","YBR159W",12
"1101","YBR244W",12
"1102","YBR256C",12
"1103","YBR274W",12
"1104","YCL019W",12
"1105","YCR033W",12
"1106","YCR036W",12
"1107","YCR065W",12
"1108","YCR073C",12
"1109","YDL017W",12
"1110","YDL074C",12
"1111","YDL080C",12
"1112","YDL084W",12
"1113","YDL093W",12
"1114","YDL095W",12
"1115","YDL122W",12
"1116","YDL124W",12
"1117","YDL199C",12
"1118","YDR019C",12
"1119","YDR025W",12
"1120","YDR034C-D",12
"1121","YDR045C",12
"1122","YDR074W",12
"1123","YDR148C",12
"1124","YDR151C",12
"1125","YDR210W-B",12
"1126","YDR224C",12
"1127","YDR261W-B",12
"1128","YDR307W",12
"1129","YDR313C",12
"1130","YDR332W",12
"1131","YDR380W",12
"1132","YDR454C",12
"1133","YEL011W",12
"1134","YEL020C",12
"1135","YEL027W",12
"1136","YEL039C",12
"1137","YEL077C",12
"1138","YER023W",12
"1139","YER028C",12
"1140","YER052C",12
"1141","YER101C",12
"1142","YER110C",12
"1143","YER118C",12
"1144","YFL002W-A",12
"1145","YFL007W",12
"1146","YFL052W",12
"1147","YFL053W",12
"1148","YFL066C",12
"1149","YFR024C-A",12
"1150","YFR028C",12
"1151","YGL064C",12
"1152","YGL166W",12
"1153","YGL207W",12
"1154","YGL216W",12
"1155","YGL236C",12
"1156","YGR040W",12
"1157","YGR067C",12
"1158","YGR080W",12
"1159","YGR132C",12
"1160","YGR161W-B",12
"1161","YGR185C",12
"1162","YGR209C",12
"1163","YGR210C",12
"1164","YGR225W",12
"1165","YGR244C",12
"1166","YHL015W",12
"1167","YHL019C",12
"1168","YHR022C",12
"1169","YHR050W",12
"1170","YHR057C",12
"1171","YHR074W",12
"1172","YHR132C",12
"1173","YHR155W",12
"1174","YHR169W",12
"1175","YIL015W",12
"1176","YIL128W",12
"1177","YIL140W",12
"1178","YIL159W",12
"1179","YIL177C",12
"1180","YIR012W",12
"1181","YIR023W",12
"1182","YIR036C",12
"1183","YIR037W",12
"1184","YJL069C",12
"1185","YJL078C",12
"1186","YJL079C",12
"1187","YJL141C",12
"1188","YJL160C",12
"1189","YJL162C",12
"1190","YJL176C",12
"1191","YJL194W",12
"1192","YJL225C",12
"1193","YJR007W",12
"1194","YJR048W",12
"1195","YJR105W",12
"1196","YJR127C",12
"1197","YKL026C",12
"1198","YKL059C",12
"1199","YKL079W",12
"1200","YKL106W",12
"1201","YKL166C",12
"1202","YKL181W",12
"1203","YKL222C",12
"1204","YKR002W",12
"1205","YKR013W",12
"1206","YKR029C",12
"1207","YKR070W",12
"1208","YKR090W",12
"1209","YKR097W",12
"1210","YLL019C",12
"1211","YLL029W",12
"1212","YLL043W",12
"1213","YLR027C",12
"1214","YLR034C",12
"1215","YLR043C",12
"1216","YLR055C",12
"1217","YLR136C",12
"1218","YLR146C",12
"1219","YLR153C",12
"1220","YLR182W",12
"1221","YLR188W",12
"1222","YLR277C",12
"1223","YLR323C",12
"1224","YLR355C",12
"1225","YLR410W-B",12
"1226","YLR454W",12
"1227","YML007W",12
"1228","YML065W",12
"1229","YML081W",12
"1230","YML086C",12
"1231","YMR021C",12
"1232","YMR033W",12
"1233","YMR047C",12
"1234","YMR072W",12
"1235","YMR106C",12
"1236","YMR167W",12
"1237","YMR182C",12
"1238","YMR189W",12
"1239","YMR213W",12
"1240","YMR216C",12
"1241","YMR247C",12
"1242","YMR284W",12
"1243","YMR297W",12
"1244","YMR300C",12
"1245","YMR301C",12
"1246","YNL022C",12
"1247","YNL111C",12
"1248","YNL185C",12
"1249","YNL251C",12
"1250","YNL287W",12
