"Gene.proteins.secondaryIdentifier","Gene.proteins.symbol","Gene.proteins.proteinDomains.name","Gene.proteins.proteinDomains.start","Gene.proteins.proteinDomains.end","Gene.proteins.proteinDomains.method","Gene.proteins.proteinDomains.id"
"Q0055","Ai2p","SSF81442","3","122","SUPERFAMILY","1940856"
"Q0060","Ai3p","G3DSA:1.20.210.10","1","82","GENE3D","1940857"
"Q0060","Ai3p","G3DSA:3.10.28.10","92","232","GENE3D","1940858"
"Q0060","Ai3p","G3DSA:3.10.28.10","234","415","GENE3D","1940859"
"Q0060","Ai3p","PF00115","13","81","Pfam","1940860"
"Q0060","Ai3p","PF00961","113","204","Pfam","1940861"
"Q0060","Ai3p","PF00961","245","368","Pfam","1940862"
"Q0060","Ai3p","PR01165","4","29","PRINTS","1940863"
"Q0060","Ai3p","PR01165","53","76","PRINTS","1940864"
"Q0060","Ai3p","PS50855","1","81","PROSITE","1940865"
"Q0060","Ai3p","PTHR10422","114","351","PANTHER","1940866"
"Q0060","Ai3p","PTHR10422:SF30","114","351","PANTHER","1940867"
"Q0060","Ai3p","SSF55608","107","230","SUPERFAMILY","1940868"
"Q0060","Ai3p","SSF55608","239","411","SUPERFAMILY","1940869"
"Q0060","Ai3p","SSF81442","3","141","SUPERFAMILY","1940870"
"Q0065","Ai4p","G3DSA:1.20.210.10","1","287","GENE3D","1940871"
"Q0065","Ai4p","G3DSA:3.10.28.10","307","419","GENE3D","1940872"
"Q0065","Ai4p","G3DSA:3.10.28.10","425","556","GENE3D","1940873"
"Q0065","Ai4p","PF00115","13","252","Pfam","1940874"
"Q0065","Ai4p","PF00961","328","415","Pfam","1940875"
"Q0065","Ai4p","PF00961","435","523","Pfam","1940876"
"Q0065","Ai4p","PR01165","4","29","PRINTS","1940877"
"Q0065","Ai4p","PR01165","53","76","PRINTS","1940878"
"Q0065","Ai4p","PR01165","81","105","PRINTS","1940879"
"Q0065","Ai4p","PR01165","123","135","PRINTS","1940880"
"Q0065","Ai4p","PR01165","155","173","PRINTS","1940881"
"Q0065","Ai4p","PR01165","184","203","PRINTS","1940882"
"Q0065","Ai4p","PR01165","213","234","PRINTS","1940883"
"Q0065","Ai4p","PS50855","1","252","PROSITE","1940884"
"Q0065","Ai4p","PTHR10422","1","519","PANTHER","1940885"
"Q0065","Ai4p","PTHR10422:SF30","1","519","PANTHER","1940886"
"Q0065","Ai4p","SSF55608","317","426","SUPERFAMILY","1940887"
"Q0065","Ai4p","SSF55608","429","535","SUPERFAMILY","1940888"
"Q0065","Ai4p","SSF81442","3","278","SUPERFAMILY","1940889"
"Q0070","Ai5_Alphap","G3DSA:1.20.210.10","1","344","GENE3D","1985608"
"Q0070","Ai5_Alphap","G3DSA:3.10.28.10","394","522","GENE3D","1985609"
"Q0070","Ai5_Alphap","G3DSA:3.10.28.10","523","628","GENE3D","1985610"
"Q0070","Ai5_Alphap","PF00115","13","326","Pfam","1985611"
"Q0070","Ai5_Alphap","PF03161","425","601","Pfam","1985612"
"Q0070","Ai5_Alphap","PR01165","4","29","PRINTS","1985613"
"Q0070","Ai5_Alphap","PR01165","53","76","PRINTS","1985614"
"Q0070","Ai5_Alphap","PR01165","81","105","PRINTS","1985615"
"Q0070","Ai5_Alphap","PR01165","123","135","PRINTS","1985616"
"Q0070","Ai5_Alphap","PR01165","155","173","PRINTS","1985617"
"Q0070","Ai5_Alphap","PR01165","184","203","PRINTS","1985618"
"Q0070","Ai5_Alphap","PR01165","235","256","PRINTS","1985619"
"Q0070","Ai5_Alphap","PR01165","281","296","PRINTS","1985620"
"Q0070","Ai5_Alphap","PR01165","305","326","PRINTS","1985621"
"Q0070","Ai5_Alphap","PS00077","237","291","PROSITE","1985622"
"Q0070","Ai5_Alphap","PS50855","1","326","PROSITE","1985623"
"Q0070","Ai5_Alphap","PTHR10422","1","595","PANTHER","1985624"
"Q0070","Ai5_Alphap","PTHR10422:SF30","1","595","PANTHER","1985625"
"Q0070","Ai5_Alphap","SSF55608","413","617","SUPERFAMILY","1985626"
"Q0070","Ai5_Alphap","SSF81442","3","327","SUPERFAMILY","1985627"
"Q0075","Ai5_Betap","G3DSA:3.10.28.10","78","184","GENE3D","1985601"
"Q0075","Ai5_Betap","G3DSA:3.10.28.10","189","353","GENE3D","1985602"
"Q0075","Ai5_Betap","PF00961","201","296","Pfam","1985603"
"Q0075","Ai5_Betap","PTHR36181","17","349","PANTHER","1985604"
"Q0075","Ai5_Betap","PTHR36181:SF3","17","349","PANTHER","1985605"
"Q0075","Ai5_Betap","SSF55608","88","190","SUPERFAMILY","1985606"
"Q0075","Ai5_Betap","SSF55608","195","319","SUPERFAMILY","1985607"
"Q0080","Atp8p","PF05933","1","48","Pfam","1940422"
"Q0080","Atp8p","PTHR36101","1","48","PANTHER","1940423"
"Q0080","Atp8p","PTHR36101:SF2","1","48","PANTHER","1940424"
"Q0085","Atp6p","G3DSA:1.20.120.220","71","259","GENE3D","1940411"
"Q0085","Atp6p","MF_01393","14","259","HAMAP","1940412"
"Q0085","Atp6p","PF00119","41","252","Pfam","1940413"
"Q0085","Atp6p","PR00123","98","114","PRINTS","1940414"
"Q0085","Atp6p","PR00123","159","174","PRINTS","1940415"
"Q0085","Atp6p","PR00123","179","201","PRINTS","1940416"
"Q0085","Atp6p","PR00123","239","254","PRINTS","1940417"
"Q0085","Atp6p","PS00449","182","191","PROSITE","1940418"
"Q0085","Atp6p","PTHR11410","1","256","PANTHER","1940419"
"Q0085","Atp6p","SSF81336","89","252","SUPERFAMILY","1940420"
"Q0085","Atp6p","TIGR01131","13","255","TIGRFAM","1940421"
"Q0105","Cobp","G3DSA:1.20.810.10","1","385","GENE3D","1940053"
"Q0105","Cobp","PF00032","259","360","Pfam","1940054"
"Q0105","Cobp","PF00033","18","204","Pfam","1940055"
"Q0105","Cobp","PIRSF038885","2","385","PIRSF","1940056"
"Q0105","Cobp","PS51002","1","210","PROSITE","1940057"
"Q0105","Cobp","PS51003","211","381","PROSITE","1940058"
"Q0105","Cobp","PTHR19271","1","377","PANTHER","1940059"
"Q0105","Cobp","PTHR19271:SF14","1","377","PANTHER","1940060"
"Q0105","Cobp","SSF81342","3","261","SUPERFAMILY","1940061"
"Q0105","Cobp","SSF81648","262","382","SUPERFAMILY","1940062"
"Q0110","Bi2p","G3DSA:1.20.810.10","1","171","GENE3D","1940822"
"Q0110","Bi2p","G3DSA:3.10.28.10","191","315","GENE3D","1940823"
"Q0110","Bi2p","G3DSA:3.10.28.10","323","422","GENE3D","1940824"
"Q0110","Bi2p","PF00033","18","169","Pfam","1940825"
"Q0110","Bi2p","PF03161","224","403","Pfam","1940826"
"Q0110","Bi2p","PS51002","1","215","PROSITE","1940827"
"Q0110","Bi2p","PTHR19271","1","418","PANTHER","1940828"
"Q0110","Bi2p","PTHR19271:SF14","1","418","PANTHER","1940829"
"Q0110","Bi2p","SSF55608","211","420","SUPERFAMILY","1940830"
"Q0110","Bi2p","SSF81342","3","173","SUPERFAMILY","1940831"
"Q0115","Bi3p","G3DSA:1.20.810.10","1","258","GENE3D","1985589"
"Q0115","Bi3p","G3DSA:3.10.28.10","259","383","GENE3D","1985590"
"Q0115","Bi3p","G3DSA:3.10.28.10","384","517","GENE3D","1985591"
"Q0115","Bi3p","PF00033","18","199","Pfam","1985592"
"Q0115","Bi3p","PF00961","269","367","Pfam","1985593"
"Q0115","Bi3p","PF00961","405","499","Pfam","1985594"
"Q0115","Bi3p","PS51002","1","219","PROSITE","1985595"
"Q0115","Bi3p","PTHR19271","1","501","PANTHER","1985596"
"Q0115","Bi3p","PTHR19271:SF14","1","501","PANTHER","1985597"
"Q0115","Bi3p","SSF55608","261","371","SUPERFAMILY","1985598"
"Q0115","Bi3p","SSF55608","393","511","SUPERFAMILY","1985599"
"Q0115","Bi3p","SSF81342","3","243","SUPERFAMILY","1985600"
"Q0120","Bi4p","G3DSA:1.20.810.10","1","272","GENE3D","1940890"
"Q0120","Bi4p","G3DSA:3.10.28.10","387","505","GENE3D","1940891"
"Q0120","Bi4p","G3DSA:3.10.28.10","506","638","GENE3D","1940892"
"Q0120","Bi4p","PF00033","18","204","Pfam","1940893"
"Q0120","Bi4p","PF00961","408","494","Pfam","1940894"
"Q0120","Bi4p","PF00961","515","605","Pfam","1940895"
"Q0120","Bi4p","PS51002","1","210","PROSITE","1940896"
"Q0120","Bi4p","PTHR19271","1","637","PANTHER","1940897"
"Q0120","Bi4p","PTHR19271:SF14","1","637","PANTHER","1940898"
"Q0120","Bi4p","SSF55608","400","506","SUPERFAMILY","1940899"
"Q0120","Bi4p","SSF55608","509","613","SUPERFAMILY","1940900"
"Q0120","Bi4p","SSF81342","3","253","SUPERFAMILY","1940901"
"Q0130","Oli1p","G3DSA:1.20.20.10","3","75","GENE3D","1974197"
"Q0130","Oli1p","MF_01396","5","73","HAMAP","1974198"
"Q0130","Oli1p","PF00137","10","72","Pfam","1974199"
"Q0130","Oli1p","PR00124","10","29","PRINTS","1974200"
"Q0130","Oli1p","PR00124","31","46","PRINTS","1974201"
"Q0130","Oli1p","PR00124","48","73","PRINTS","1974202"
"Q0130","Oli1p","PS00605","38","59","PROSITE","1974203"
"Q0130","Oli1p","PTHR10031","2","74","PANTHER","1974204"
"Q0130","Oli1p","PTHR10031:SF16","2","74","PANTHER","1974205"
"Q0130","Oli1p","SSF81333","2","74","SUPERFAMILY","1974206"
"Q0140","Var1p","PF05316","35","398","Pfam","1940691"
"Q0160","Sceip","G3DSA:3.10.28.10","1","122","GENE3D","1940912"
"Q0160","Sceip","G3DSA:3.10.28.10","123","235","GENE3D","1940913"
"Q0160","Sceip","PF03161","36","206","Pfam","1940914"
"Q0160","Sceip","SSF55608","22","225","SUPERFAMILY","1940915"
"Q0250","Cox2p","G3DSA:1.10.287.90","18","111","GENE3D","1940165"
"Q0250","Cox2p","G3DSA:2.60.40.420","112","251","GENE3D","1940166"
"Q0250","Cox2p","PF00116","115","239","Pfam","1940167"
"Q0250","Cox2p","PF02790","17","103","Pfam","1940168"
"Q0250","Cox2p","PR01166","77","89","PRINTS","1940169"
"Q0250","Cox2p","PR01166","89","109","PRINTS","1940170"
"Q0250","Cox2p","PR01166","111","130","PRINTS","1940171"
"Q0250","Cox2p","PR01166","159","180","PRINTS","1940172"
"Q0250","Cox2p","PR01166","183","203","PRINTS","1940173"
"Q0250","Cox2p","PR01166","203","220","PRINTS","1940174"
"Q0250","Cox2p","PR01166","221","238","PRINTS","1940175"
"Q0250","Cox2p","PS00078","184","232","PROSITE","1940176"
"Q0250","Cox2p","PS50857","112","250","PROSITE","1940177"
"Q0250","Cox2p","PS50999","17","111","PROSITE","1940178"
"Q0250","Cox2p","PTHR22888","4","251","PANTHER","1940179"
"Q0250","Cox2p","PTHR22888:SF14","4","251","PANTHER","1940180"
"Q0250","Cox2p","SSF49503","113","251","SUPERFAMILY","1940181"
"Q0250","Cox2p","SSF81464","9","110","SUPERFAMILY","1940182"
"Q0250","Cox2p","TIGR02866","35","249","TIGRFAM","1940183"
"Q0255","Q0255p","G3DSA:1.10.10.10","404","467","GENE3D","1940902"
"Q0255","Q0255p","G3DSA:3.10.28.10","72","209","GENE3D","1940903"
"Q0255","Q0255p","G3DSA:3.10.28.10","210","369","GENE3D","1940904"
"Q0255","Q0255p","PF00961","89","182","Pfam","1940905"
"Q0255","Q0255p","PF07453","419","454","Pfam","1940906"
"Q0255","Q0255p","PTHR36181","59","372","PANTHER","1940907"
"Q0255","Q0255p","PTHR36181:SF4","59","372","PANTHER","1940908"
"Q0255","Q0255p","SM00497","417","469","SMART","1940909"
"Q0255","Q0255p","SSF55608","79","214","SUPERFAMILY","1940910"
"Q0255","Q0255p","SSF55608","218","382","SUPERFAMILY","1940911"
"Q0275","Cox3p","G3DSA:1.10.287.70","7","78","GENE3D","1940184"
"Q0275","Cox3p","G3DSA:1.20.120.80","79","269","GENE3D","1940185"
"Q0275","Cox3p","PF00510","12","268","Pfam","1940186"
"Q0275","Cox3p","PS50253","10","269","PROSITE","1940187"
"Q0275","Cox3p","PTHR11403","8","268","PANTHER","1940188"
"Q0275","Cox3p","PTHR11403:SF13","8","268","PANTHER","1940189"
"Q0275","Cox3p","SSF81452","9","268","SUPERFAMILY","1940190"
"R0010W","Flp1p","G3DSA:1.10.443.10","152","418","GENE3D","1940815"
"R0010W","Flp1p","G3DSA:3.30.300.80","22","104","GENE3D","1940816"
"R0010W","Flp1p","PF03930","44","128","Pfam","1940817"
"R0010W","Flp1p","PF05202","137","379","Pfam","1940818"
"R0010W","Flp1p","SSF47823","2","129","SUPERFAMILY","1940819"
"R0010W","Flp1p","SSF56349","136","422","SUPERFAMILY","1940820"
"R0020C","Rep1p","PF05797","2","335","Pfam","1940821"
"YAL001C","Tfc3p","PF04182","108","174","Pfam","1956386"
"YAL001C","Tfc3p","PTHR15180","553","1159","PANTHER","1956387"
"YAL001C","Tfc3p","PTHR15180:SF3","553","1159","PANTHER","1956388"
"YAL002W","Vps8p","G3DSA:1.25.40.10","423","867","GENE3D","1963485"
"YAL002W","Vps8p","G3DSA:1.25.40.10","949","1190","GENE3D","1963486"
"YAL002W","Vps8p","G3DSA:2.130.10.10","42","376","GENE3D","1963487"
"YAL002W","Vps8p","G3DSA:3.30.40.10","1191","1273","GENE3D","1963488"
"YAL002W","Vps8p","PF12816","538","735","Pfam","1963489"
"YAL002W","Vps8p","PS50089","1198","1266","PROSITE","1963490"
"YAL002W","Vps8p","PS50236","507","665","PROSITE","1963491"
"YAL002W","Vps8p","PS50236","915","1092","PROSITE","1963492"
"YAL002W","Vps8p","PTHR12616","1","1274","PANTHER","1963493"
"YAL002W","Vps8p","PTHR12616:SF10","1","1274","PANTHER","1963494"
"YAL002W","Vps8p","SSF50978","57","227","SUPERFAMILY","1963495"
"YAL002W","Vps8p","SSF50978","291","359","SUPERFAMILY","1963496"
"YAL002W","Vps8p","SSF57850","1181","1270","SUPERFAMILY","1963497"
"YAL003W","Efb1p","G3DSA:1.20.1050.10","8","124","GENE3D","1953562"
"YAL003W","Efb1p","G3DSA:3.30.70.60","125","206","GENE3D","1953563"
"YAL003W","Efb1p","PF00736","123","206","Pfam","1953564"
"YAL003W","Efb1p","PF10587","83","110","Pfam","1953565"
"YAL003W","Efb1p","PS00824","77","85","PROSITE","1953566"
"YAL003W","Efb1p","PS00825","195","206","PROSITE","1953567"
"YAL003W","Efb1p","PTHR11595","5","206","PANTHER","1953568"
"YAL003W","Efb1p","PTHR11595:SF39","5","206","PANTHER","1953569"
"YAL003W","Efb1p","SM00888","120","206","SMART","1953570"
"YAL003W","Efb1p","SM01182","83","110","SMART","1953571"
"YAL003W","Efb1p","SSF47616","9","58","SUPERFAMILY","1953572"
"YAL003W","Efb1p","SSF54984","118","206","SUPERFAMILY","1953573"
"YAL004W","Yal004Wp","PF10712","2","215","Pfam","1963498"
"YAL005C","Ssa1p","G3DSA:1.20.1270.10","516","616","GENE3D","1944906"
"YAL005C","Ssa1p","G3DSA:2.60.34.10","384","515","GENE3D","1944907"
"YAL005C","Ssa1p","G3DSA:3.30.420.40","1","198","GENE3D","1944908"
"YAL005C","Ssa1p","G3DSA:3.30.420.40","199","359","GENE3D","1944909"
"YAL005C","Ssa1p","PF00012","4","607","Pfam","1944910"
"YAL005C","Ssa1p","PR00301","3","16","PRINTS","1944911"
"YAL005C","Ssa1p","PR00301","31","43","PRINTS","1944912"
"YAL005C","Ssa1p","PR00301","53","61","PRINTS","1944913"
"YAL005C","Ssa1p","PR00301","140","160","PRINTS","1944914"
"YAL005C","Ssa1p","PR00301","200","210","PRINTS","1944915"
"YAL005C","Ssa1p","PR00301","328","344","PRINTS","1944916"
"YAL005C","Ssa1p","PR00301","360","380","PRINTS","1944917"
"YAL005C","Ssa1p","PR00301","387","406","PRINTS","1944918"
"YAL005C","Ssa1p","PR00301","468","484","PRINTS","1944919"
"YAL005C","Ssa1p","PS00297","7","14","PROSITE","1944920"
"YAL005C","Ssa1p","PS00329","194","207","PROSITE","1944921"
"YAL005C","Ssa1p","PS01036","331","345","PROSITE","1944922"
"YAL005C","Ssa1p","PTHR19375","1","621","PANTHER","1944923"
"YAL005C","Ssa1p","PTHR19375:SF274","1","621","PANTHER","1944924"
"YAL005C","Ssa1p","SSF100920","384","540","SUPERFAMILY","1944925"
"YAL005C","Ssa1p","SSF100934","535","614","SUPERFAMILY","1944926"
"YAL005C","Ssa1p","SSF53067","1","185","SUPERFAMILY","1944927"
"YAL005C","Ssa1p","SSF53067","188","379","SUPERFAMILY","1944928"
"YAL007C","Erp2p","PF01105","34","207","Pfam","1963499"
"YAL007C","Erp2p","PS50866","41","123","PROSITE","1963500"
"YAL007C","Erp2p","PTHR22811","1","215","PANTHER","1963501"
"YAL007C","Erp2p","PTHR22811:SF110","1","215","PANTHER","1963502"
"YAL007C","Erp2p","SM01190","31","208","SMART","1963503"
"YAL007C","Erp2p","SSF101576","44","116","SUPERFAMILY","1963504"
"YAL008W","Fun14p","PF04930","107","191","Pfam","1947499"
"YAL008W","Fun14p","PTHR21346","7","193","PANTHER","1947500"
"YAL008W","Fun14p","PTHR21346:SF6","7","193","PANTHER","1947501"
"YAL009W","Spo7p","PF03907","45","249","Pfam","1947496"
"YAL009W","Spo7p","PTHR28249","15","259","PANTHER","1947497"
"YAL009W","Spo7p","PTHR28249:SF2","15","259","PANTHER","1947498"
"YAL010C","Mdm10p","G3DSA:2.40.160.10","7","455","GENE3D","1947491"
"YAL010C","Mdm10p","MF_03102","1","493","HAMAP","1947492"
"YAL010C","Mdm10p","PF12519","1","493","Pfam","1947493"
"YAL010C","Mdm10p","PTHR28035","1","493","PANTHER","1947494"
"YAL010C","Mdm10p","PTHR28035:SF2","1","493","PANTHER","1947495"
"YAL011W","Swc3p","PTHR28108","1","618","PANTHER","1952561"
"YAL011W","Swc3p","PTHR28108:SF2","1","618","PANTHER","1952562"
"YAL012W","Cys3p","G3DSA:3.40.640.10","7","254","GENE3D","1952539"
"YAL012W","Cys3p","G3DSA:3.90.1150.10","255","394","GENE3D","1952540"
"YAL012W","Cys3p","PF01053","10","390","Pfam","1952541"
"YAL012W","Cys3p","PIRSF001434","1","393","PIRSF","1952542"
"YAL012W","Cys3p","PS00868","196","210","PROSITE","1952543"
"YAL012W","Cys3p","PTHR11808","5","392","PANTHER","1952544"
"YAL012W","Cys3p","PTHR11808:SF64","5","392","PANTHER","1952545"
"YAL012W","Cys3p","SSF53383","8","391","SUPERFAMILY","1952546"
"YAL013W","Dep1p","PF08598","182","401","Pfam","1952646"
"YAL013W","Dep1p","PTHR21964","4","404","PANTHER","1952647"
"YAL013W","Dep1p","PTHR21964:SF18","4","404","PANTHER","1952648"
"YAL013W","Dep1p","SM01401","182","402","SMART","1952649"
"YAL014C","Syn8p","G3DSA:1.20.5.110","153","255","GENE3D","1952563"
"YAL014C","Syn8p","PS50192","164","202","PROSITE","1952564"
"YAL014C","Syn8p","PTHR19957","1","255","PANTHER","1952565"
"YAL014C","Syn8p","PTHR19957:SF143","1","255","PANTHER","1952566"
"YAL014C","Syn8p","SM00397","159","227","SMART","1952567"
"YAL014C","Syn8p","SSF58038","155","225","SUPERFAMILY","1952568"
"YAL015C","Ntg1p","G3DSA:1.10.1670.10","241","320","GENE3D","1952569"
"YAL015C","Ntg1p","G3DSA:1.10.340.30","138","240","GENE3D","1952570"
"YAL015C","Ntg1p","MF_03183","91","336","HAMAP","1952571"
"YAL015C","Ntg1p","PF00633","223","247","Pfam","1952572"
"YAL015C","Ntg1p","PF00730","149","295","Pfam","1952573"
"YAL015C","Ntg1p","PS01155","225","254","PROSITE","1952574"
"YAL015C","Ntg1p","PTHR43286","375","390","PANTHER","1952575"
"YAL015C","Ntg1p","PTHR43286:SF1","375","390","PANTHER","1952576"
"YAL015C","Ntg1p","SM00478","152","312","SMART","1952577"
"YAL015C","Ntg1p","SSF48150","138","318","SUPERFAMILY","1952578"
"YAL016W","Tpd3p","G3DSA:1.25.10.10","28","630","GENE3D","1952619"
"YAL016W","Tpd3p","PF13646","402","502","Pfam","1952620"
"YAL016W","Tpd3p","PS50077","77","114","PROSITE","1952621"
"YAL016W","Tpd3p","PS50077","116","154","PROSITE","1952622"
"YAL016W","Tpd3p","PS50077","281","316","PROSITE","1952623"
"YAL016W","Tpd3p","PS50077","321","356","PROSITE","1952624"
"YAL016W","Tpd3p","PS50077","361","399","PROSITE","1952625"
"YAL016W","Tpd3p","PS50077","400","438","PROSITE","1952626"
"YAL016W","Tpd3p","PS50077","439","477","PROSITE","1952627"
"YAL016W","Tpd3p","PS50077","558","596","PROSITE","1952628"
"YAL016W","Tpd3p","PS50077","603","635","PROSITE","1952629"
"YAL016W","Tpd3p","PTHR10648","32","632","PANTHER","1952630"
"YAL016W","Tpd3p","PTHR10648:SF17","32","632","PANTHER","1952631"
"YAL016W","Tpd3p","SSF48371","33","626","SUPERFAMILY","1952632"
"YAL017W","Psk1p","G3DSA:1.10.510.10","1205","1355","GENE3D","1952547"
"YAL017W","Psk1p","G3DSA:3.30.200.20","898","1204","GENE3D","1952548"
"YAL017W","Psk1p","G3DSA:3.30.450.20","381","550","GENE3D","1952549"
"YAL017W","Psk1p","G3DSA:3.30.450.20","735","882","GENE3D","1952550"
"YAL017W","Psk1p","PF00069","1097","1354","Pfam","1952551"
"YAL017W","Psk1p","PS00108","1226","1238","PROSITE","1952552"
"YAL017W","Psk1p","PS50011","1096","1354","PROSITE","1952553"
"YAL017W","Psk1p","PTHR22971","187","1355","PANTHER","1952554"
"YAL017W","Psk1p","PTHR22971:SF7","187","1355","PANTHER","1952555"
"YAL017W","Psk1p","SM00091","450","518","SMART","1952556"
"YAL017W","Psk1p","SM00091","738","807","SMART","1952557"
"YAL017W","Psk1p","SM00220","1096","1354","SMART","1952558"
"YAL017W","Psk1p","SSF55785","457","528","SUPERFAMILY","1952559"
"YAL017W","Psk1p","SSF56112","1090","1354","SUPERFAMILY","1952560"
"YAL018C","Lds1p","PTHR34292","21","324","PANTHER","1952579"
"YAL018C","Lds1p","PTHR34292:SF4","21","324","PANTHER","1952580"
"YAL019W","Fun30p","G3DSA:3.40.50.10810","549","800","GENE3D","1952581"
"YAL019W","Fun30p","G3DSA:3.40.50.300","935","1100","GENE3D","1952582"
"YAL019W","Fun30p","PF00176","585","880","Pfam","1952583"
"YAL019W","Fun30p","PF00271","950","1063","Pfam","1952584"
"YAL019W","Fun30p","PS51192","584","752","PROSITE","1952585"
"YAL019W","Fun30p","PS51194","953","1108","PROSITE","1952586"
"YAL019W","Fun30p","PTHR10799","226","1096","PANTHER","1952587"
"YAL019W","Fun30p","PTHR10799:SF801","226","1096","PANTHER","1952588"
"YAL019W","Fun30p","SM00487","568","764","SMART","1952589"
"YAL019W","Fun30p","SM00490","980","1063","SMART","1952590"
"YAL019W","Fun30p","SSF52540","530","801","SUPERFAMILY","1952591"
"YAL019W","Fun30p","SSF52540","803","894","SUPERFAMILY","1952592"
"YAL019W","Fun30p","SSF52540","941","1104","SUPERFAMILY","1952593"
"YAL020C","Ats1p","G3DSA:2.130.10.30","2","125","GENE3D","1952650"
"YAL020C","Ats1p","G3DSA:2.130.10.30","126","320","GENE3D","1952651"
"YAL020C","Ats1p","PF00415","4","51","Pfam","1952652"
"YAL020C","Ats1p","PR00633","3","19","PRINTS","1952653"
"YAL020C","Ats1p","PR00633","38","51","PRINTS","1952654"
"YAL020C","Ats1p","PR00633","185","201","PRINTS","1952655"
"YAL020C","Ats1p","PS00626","41","51","PROSITE","1952656"
"YAL020C","Ats1p","PS50012","2","54","PROSITE","1952657"
"YAL020C","Ats1p","PS50012","55","105","PROSITE","1952658"
"YAL020C","Ats1p","PS50012","147","198","PROSITE","1952659"
"YAL020C","Ats1p","PS50012","240","279","PROSITE","1952660"
"YAL020C","Ats1p","PTHR22870","88","331","PANTHER","1952661"
"YAL020C","Ats1p","PTHR22870:SF242","88","331","PANTHER","1952662"
"YAL020C","Ats1p","SSF50985","4","304","SUPERFAMILY","1952663"
"YAL021C","Ccr4p","G3DSA:2.130.10.10","12","147","GENE3D","1952633"
"YAL021C","Ccr4p","G3DSA:3.60.10.10","500","836","GENE3D","1952634"
"YAL021C","Ccr4p","G3DSA:3.80.10.10","178","462","GENE3D","1952635"
"YAL021C","Ccr4p","PF03372","508","818","Pfam","1952636"
"YAL021C","Ccr4p","PF13855","359","409","Pfam","1952637"
"YAL021C","Ccr4p","PS51450","358","379","PROSITE","1952638"
"YAL021C","Ccr4p","PS51450","381","402","PROSITE","1952639"
"YAL021C","Ccr4p","PTHR12121","324","832","PANTHER","1952640"
"YAL021C","Ccr4p","PTHR12121:SF57","324","832","PANTHER","1952641"
